Price,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,
2011-06-13,2222.280029296875,2234.219970703125,2214.3701171875,2225.2099609375,1847050000
2011-06-14,2250.340087890625,2256.4599609375,2240.389892578125,2240.389892578125,1701300000
2011-06-15,2209.010009765625,2243.219970703125,2204.14990234375,2229.81005859375,1982430000
2011-06-16,2199.929931640625,2216.739990234375,2180.93994140625,2209.75,1958250000
2011-06-17,2192.9599609375,2222.510009765625,2186.780029296875,2220.0400390625,2393690000
2011-06-20,2204.360107421875,2210.639892578125,2186.77001953125,2187.2099609375,1625850000
2011-06-21,2251.820068359375,2253.27001953125,2203.7099609375,2210.969970703125,1882490000
2011-06-22,2235.75,2254.639892578125,2234.830078125,2243.2099609375,1617370000
2011-06-23,2255.050048828125,2256.699951171875,2204.469970703125,2210.489990234375,2060450000
2011-06-24,2217.06005859375,2246.9599609375,2213.10009765625,2245.489990234375,2842870000
2011-06-27,2252.239990234375,2263.2099609375,2215.139892578125,2217.6298828125,1710740000
2011-06-28,2285.75,2286.919921875,2254.93994140625,2256.52001953125,1682590000
2011-06-29,2294.429931640625,2299.320068359375,2278.85009765625,2290.5,1804490000
2011-06-30,2325.070068359375,2327.360107421875,2302.669921875,2303.0,1859130000
2011-07-01,2361.389892578125,2363.360107421875,2320.570068359375,2326.159912109375,1646380000
2011-07-05,2371.2099609375,2374.409912109375,2357.31005859375,2363.080078125,1556620000
2011-07-06,2378.580078125,2383.77001953125,2361.469970703125,2368.75,1639490000
2011-07-07,2412.889892578125,2418.989990234375,2394.550048828125,2396.639892578125,1873710000
2011-07-08,2405.889892578125,2405.919921875,2379.139892578125,2390.159912109375,1612120000
2011-07-11,2362.0,2392.090087890625,2354.1201171875,2380.56005859375,1765920000
2011-07-12,2343.7900390625,2366.35009765625,2342.1298828125,2362.18994140625,2015410000
2011-07-13,2352.429931640625,2377.340087890625,2345.800048828125,2360.429931640625,1885510000
2011-07-14,2325.06005859375,2370.719970703125,2318.199951171875,2358.889892578125,1946500000
2011-07-15,2356.669921875,2357.360107421875,2336.1298828125,2351.81005859375,1804380000
2011-07-18,2344.010009765625,2354.56005859375,2322.6201171875,2346.530029296875,1752220000
2011-07-19,2398.169921875,2400.580078125,2367.81005859375,2367.81005859375,1882760000
2011-07-20,2387.800048828125,2412.389892578125,2384.5,2411.7099609375,1863670000
2011-07-21,2404.239990234375,2417.1298828125,2377.820068359375,2389.56005859375,2284150000
2011-07-22,2429.5,2432.840087890625,2402.06005859375,2403.199951171875,1665220000
2011-07-25,2424.14990234375,2437.419921875,2406.169921875,2408.64990234375,1613240000
2011-07-26,2429.449951171875,2438.43994140625,2418.52001953125,2423.159912109375,1739980000
2011-07-27,2367.159912109375,2416.219970703125,2362.1201171875,2414.360107421875,2367470000
2011-07-28,2371.77001953125,2401.25,2359.8701171875,2367.43994140625,2067020000
2011-07-29,2362.81005859375,2388.239990234375,2341.820068359375,2349.300048828125,2301210000
2011-08-01,2354.050048828125,2396.5,2325.169921875,2391.419921875,2209790000
2011-08-02,2292.85009765625,2352.47998046875,2291.3701171875,2340.72998046875,2377250000
2011-08-03,2312.780029296875,2316.72998046875,2254.909912109375,2294.93994140625,2601310000
2011-08-04,2207.199951171875,2284.300048828125,2207.050048828125,2275.300048828125,3272990000
