,VIX,VVIX,VIX_VVIX_Ratio
2011-06-14,18.559999465942383,91.73999786376952,0.20231087745939663
2011-06-15,19.309999465942383,105.06999969482422,0.18378223586207548
2011-06-16,21.3700008392334,100.38999938964844,0.21286981740371375
2011-06-17,21.559999465942383,95.30999755859376,0.22620921223597695
2011-06-20,22.989999771118164,90.25,0.2547368395691763
2011-06-21,19.459999084472656,90.5500030517578,0.21490887276226203
2011-06-22,18.86000061035156,91.70999908447266,0.20564824772247467
2011-06-23,20.229999542236328,93.08999633789062,0.21731657898886464
2011-06-24,19.200000762939453,99.13999938964844,0.19366553238998904
2011-06-27,21.600000381469727,94.29000091552734,0.2290804981624803
2011-06-28,20.299999237060547,90.33000183105467,0.2247315269076147
2011-06-29,18.6200008392334,85.9000015258789,0.21676368461557932
2011-06-30,16.670000076293945,81.08000183105469,0.2055994042899629
2011-07-01,16.059999465942383,78.63999938964844,0.20422176488542035
2011-07-05,16.31999969482422,81.33999633789062,0.20063929714270062
2011-07-06,16.459999084472656,82.69000244140625,0.1990567009129808
2011-07-07,15.300000190734863,80.69999694824219,0.18959108760001173
2011-07-08,17.139999389648438,80.81999969482422,0.21207621200654492
2011-07-11,17.440000534057617,90.87000274658205,0.19192252676270113
2011-07-12,19.549999237060547,88.38999938964844,0.2211788592833738
2011-07-13,19.07999992370605,88.91999816894531,0.21457490234597876
2011-07-14,20.07999992370605,95.72000122070312,0.20977851721300417
2011-07-15,20.25,89.33000183105469,0.22668755832220625
2011-07-18,21.25,97.80999755859376,0.21725795450787164
2011-07-19,20.13999938964844,91.01000213623048,0.22129435135603454
2011-07-20,18.809999465942383,86.05999755859375,0.2185684406176707
2011-07-21,18.61000061035156,81.68000030517578,0.22784035921670176
2011-07-22,17.219999313354492,82.44999694824219,0.2088538502210535
2011-07-25,19.26000022888184,90.1999969482422,0.21352550865310393
2011-07-26,19.75,93.3499984741211,0.21156936607208604
2011-07-27,20.8700008392334,102.01000213623048,0.20458778945384498
2011-07-28,22.82999992370605,105.62000274658205,0.21615223754995452
2011-07-29,25.280000686645508,106.56999969482422,0.23721498319449916
2011-08-01,22.6299991607666,95.88999938964844,0.23599957560547827
2011-08-02,24.21999931335449,102.01000213623048,0.2374276914631332
2011-08-03,23.57999992370605,98.58000183105467,0.2391965863838915
2011-08-04,24.56999969482422,121.76000213623048,0.20179040131203524
2011-08-05,28.479999542236328,118.61000061035156,0.24011465640065738
2011-08-08,36.900001525878906,134.6300048828125,0.2740845293588022
2011-08-09,42.119998931884766,112.8000030517578,0.3734042357477436
2011-08-10,39.33000183105469,132.86000061035156,0.29602590433821174
2011-08-11,41.93999862670898,128.75999450683594,0.3257222772286027
2011-08-12,37.08000183105469,120.19000244140624,0.3085115323891564
2011-08-15,34.72999954223633,109.0,0.31862384901134244
2011-08-16,33.36000061035156,104.66000366210938,0.3187464116478821
2011-08-17,32.09000015258789,104.62000274658205,0.30672910829794714
2011-08-18,36.77000045776367,106.66000366210938,0.34474028872386114
2011-08-19,45.34000015258789,111.58000183105467,0.4063452178575693
2011-08-22,38.79999923706055,111.25,0.3487640380859375
2011-08-23,41.88999938964844,103.43000030517578,0.4050082110224281
2011-08-24,37.119998931884766,104.54000091552734,0.35507938211976164
2011-08-25,34.43000030517578,112.4000015258789,0.3063167245353519
2011-08-26,41.18000030517578,104.72000122070312,0.3932391121576353
2011-08-29,33.810001373291016,96.51000213623048,0.35032639752267214
2011-08-30,32.970001220703125,96.16000366210938,0.3428660562093399
2011-08-31,31.200000762939453,94.16000366210938,0.33135088731410645
2011-09-01,31.90999984741211,92.30999755859376,0.3456830320806502
2011-09-02,34.290000915527344,91.0,0.37681319687392684
2011-09-06,39.84000015258789,97.01000213623048,0.4106793039406478
2011-09-07,34.2400016784668,93.3000030517578,0.3669882160611752
